poolAddress,token0,token1,token0Symbol,token1Symbol,fee,poolType
0xf48e31aa21f10162c77a1f2b048dfca9294e63ea,0x69a80a841f3385ec8ddc6c24d2ad2f615d2ad1f2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Totakeke,WETH,10000,eth_paired
0xf49ab487fef27492f543ff9bfcf9ea9ca1e9023d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf28463c616bd7b14287b0a4a950d35324f2d7280,WETH,IRX,500,eth_paired
0xf4a11b0e4756d81e2aa0046695ef9bce45bc413b,0x23a5a5ad7ac5fb8cbc71185f90ac831365698d5d,0xf3b9569f82b18aef890de263b84189bd33ebe452,DOGS,CAW,10000,other
0xf4a5aa36d61ba465223c497880cb475cca175deb,0x468156a1187cf4cd8f009a59772f96a5287d1cc0,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,BTNM,SHIB,3000,other
0xf4ad61db72f114be877e87d62dc5e7bd52df4d9b,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,LDO,WETH,10000,eth_paired
0xf4b6b8edc03c06d3df9c7651ee43ece5df5e9d03,0x69cb4e99d4322e9ecc7959ac5baddcb9ff49c15f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,以大坊,WETH,10000,eth_paired
0xf4b9a2df69b137b5ff5cd923d3a7a84e40317e73,0x89fd2d8fd8d937f55c89b7da3ceed44fa27e4a81,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,BUG,WETH,10000,eth_paired
0xf4c5e0f4590b6679b3030d29a84857f226087fef,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,MNT,WETH,3000,eth_paired
0xf4c92578a71b12cc4f333b361b3691329b896fd0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf4f1acb79622f2168cee08b8ed57dc738dd7bd58,WETH,MTK,100,eth_paired
0xf4d352040e77bc69a3248d055cd20be6707186ae,0xa27306d993a4369d8c24a5efb599ec49c8951f38,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,MINDFAK,WETH,3000,eth_paired
0xf4e193e24fca62aa1337943f1f64620079567d49,0x12b306fa98f4cbb8d4457fdff3a0a0a56f07ccdf,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,SXDT,USDC,10000,other
0xf4e43a4a17d2820c7cf724e46844943931a47894,0x7b0df1cd724ec34ec9bc4bd19749b01afb490761,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,KOIN,USDC,10000,other
0xf4e7cad3dbb171e5fd7b646955b561bf68020edb,0x75fa2a76e5ec2269cf507b9296ac108373c72a6e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,NUGX,WETH,10000,eth_paired
0xf4eb5c17802d2334c2ffd0ae1582ba1465d071a8,0x26d0fb38653394df8ff3d26751a11a86b178193e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WEED,WETH,3000,eth_paired
0xf4ed7b619ac2accad5933961b05e668b42703178,0x557b933a7c2c45672b610f8954a3deb39a51a8ca,0xd9016a907dc0ecfa3ca425ab20b6b785b42f2373,REVV,GMEE,3000,other
0xf4f0718cf6d4f1136e8366fa009586761d15ba62,0x5a2e5c892c08c0ba6814def6afa23c1f259a5ae1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,DICKBUTT,WETH,3000,eth_paired
0xf4f190c11baf7c11a56ec8e809c7f3b380ff72bf,0x699f8911f91d9049f6a73d65719b18d4a41ac470,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,喵喵喵喵,WETH,10000,eth_paired
0xf4f55c85c67c028e603ccd5f10aeea04be085963,0x7307842cb13dd154f6df9b9fdfae6e75a0261cb0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,keetard,WETH,3000,eth_paired
0xf50ee9848219ddbf9cc45d3df9e708b1cbafdfb4,0x4c1746a800d224393fe2470c70a35717ed4ea5f1,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,PLUME,USDC,3000,other
0xf50fe41cb4f73f8c647cf96aaf447df8b84ade92,0x69c0e6b5954d92823159eec2224050fc3c99e02c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,PSE,WETH,10000,eth_paired
0xf50fef0fe00a9b51e9175342a7a5a934bf132030,0x5570e77f4f655c292b806a77f390a54f610c7dc1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,PAPARAZZ,WETH,3000,eth_paired
0xf511fb1457c0e5f0a75bf532c3fee951c7b3ed4c,0x69e522a3041672bebf128525c55ff8ba6c3cc22e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Miri,WETH,10000,eth_paired
0xf51648233bb51fffe2bed4be89fcff4ea1fc9ac4,0x826180541412d574cf1336d22c0c0a287822678a,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,FLIP,USDC,3000,other
0xf519fd0c6ddb274b6fe9cdd0423fd72d209a561b,0x1c231fa0fc666ce14fd11f16bf9642381914deb7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,AIXBT,WETH,3000,eth_paired
0xf51c12e7d133cbbbe61f856cf0b4f62452055317,0x32c6f1c1731ff8f98ee2ede8954f696446307846,0xb60fdf036f2ad584f79525b5da76c5c531283a1b,BEARDY,NEMO,100,other
0xf52161adc4747f7825c9d81b5d0f5bcbe6f273b6,0x2a601e30386c5e178ab582a38882d1c9c6cac330,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,KMNO,WETH,3000,eth_paired
0xf5222da5a6ee03da5ad07e110c0c491f1f6011ed,0x4ac429a7cdf2b533e2c0cff1b017f2c344e864e2,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,PLSX,USDC,10000,other
0xf5294094bce435bfbd0ec488be5c462aaf32bc7a,0x2d1f7226bd1f780af6b9a49dcc0ae00e8df4bdee,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,NVDAon,USDC,10000,other
0xf52c235f31459f17d2ad95e8e97d5e3d8b797903,0x6900ac9dc986bd7a6833f6084bccbc8c06374d66,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Moon,WETH,10000,eth_paired
0xf532da4460c965379593d38f89afae437fb54700,0x5c888fa2e6f9f0880321683d1efa12e936fd5051,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,CHAD,WETH,10000,eth_paired
0xf5381d47148ee3606448df3764f39da0e7b25985,0x83e6f1e41cdd28eaceb20cb649155049fac3d5aa,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,POLS,WETH,3000,eth_paired
0xf53c15bdb4e90eadaf8be5ffb1532c60b1c655e9,0x15f74458ae0bfdaa1a96ca1aa779d715cc1eefe4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,GRAI,WETH,3000,eth_paired
0xf560f2eb3d7aedd0cb8b9665428127b8c11d6158,0x6960e7fb92ae55a5b161bc1860b4792e0e047fb2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,DESU,WETH,10000,eth_paired
0xf56cdd735b6a22a848749f065bea74b460bc7233,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc714da991b07e45054cbdec0b1b63526325ae599,WETH,FLŌKI,3000,eth_paired
0xf56d08221b5942c428acc5de8f78489a97fc5599,0x6810e776880c02933d47db1b9fc05908e5386b96,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,GNO,WETH,3000,eth_paired
0xf575c3f86cbf9509df7f0e1bfade34c01388fce4,0x2b67d1a87a8d8b280a23e97bc55095215ee0ec53,0xdac17f958d2ee523a2206206994597c13d831ec7,CPI,USDT,3000,other
0xf577068c05fda48ba1729c9a190f78008c1f11a2,0x7122985656e38bdc0302db86685bb972b145bd3c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,STONE,WETH,10000,eth_paired
0xf57b41809ffc876efb821541fee0eecc46e12ba8,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf2352cd2aaf4c38f623d9dec42cc760e6bed004c,WETH,PWRA,3000,eth_paired
0xf584e7c2934f1ffa493e9bd9bf36354d1f342d4e,0x23f2fb0752e624cde09bf7e96c667f56be78c13a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,BROCCOLI,WETH,3000,eth_paired
0xf58f1dfe15a2e1b931333a4c1e9c30bea8fddb89,0x6999fc9607dd7ec0668bec408f29e4342452d3a4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,EthTEAM,WETH,10000,eth_paired
0xf5a1b4b874f503fce0d637d5a0d6a8d02f6bb755,0x97ad24ab86186af1d0bad969c7ec2116f2120db6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,SWOL,WETH,10000,eth_paired
0xf5bbc2dbd5cd00777587d6dd5ce47a3f517790e0,0x6991eeeb9f70071ba7a5e5100386627853a23286,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,limo,WETH,10000,eth_paired
0xf5bdd1dacc50753cb755df8731fdc7287c4b738a,0x29ed920bbe0c49482deb187fdd725d68c4f185aa,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,CLASH,WETH,3000,eth_paired
0xf5bde3f43c86b5ae86ac8e6cd54886c4d712b2ae,0x69279d099c4cdedba37cb7665721ee69db1fa975,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,sex,WETH,10000,eth_paired
0xf5c0f5b2c35b03338f42610309a0fb2562ad0916,0x853d955acef822db058eb8505911ed77f175b99e,0xab846fb6c81370327e784ae7cbb6d6a6af6ff4bf,FRAX,PAL,10000,other
0xf5c55f1d5e8343f7904aae7d2102207c48018ee0,0x09260dbda64ec1b73081993d78d36cf610b26b9a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ROI,WETH,3000,eth_paired
0xf5ce0293c24fd0990e0a5758e53f66a36ca0118f,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,SNX,WETH,10000,eth_paired
0xf5d2c4209452c567705fe7dcc93ddcf61a63a100,0x4f4e65339ae6ec09fb3441bbf765728cfd660244,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,EXEX,WETH,100,eth_paired
0xf5d9bea6aac5501aae075cf91f88080ac6300031,0x691b64351631f651cc4e2c41aa5d2eabcd5baa6f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1B,WETH,10000,eth_paired
0xf5dc18fe9a548e3fd64ddbcc22450780cda0c523,0x1b379a79c91a540b2bcd612b4d713f31de1b80cc,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,NAORIS,USDC,10000,other
0xf5dd78b568ad5da03a6b631264f58486e713b53e,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xad05253a381feade280ca50bf875dc8113e8a746,USDC,PROPS,3000,other
0xf5de7dc21138e4bb9f2e3fd6e8f4cd76a7ff016b,0x42069d11a2cc72388a2e06210921e839cfbd3280,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,GNOME,WETH,10000,eth_paired
0xf5e4a4480f5e73cfe697384525d6f4a07617ac71,0xb6ca7399b4f9ca56fc27cbff44f4d2e4eef1fc81,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,MUSE,WETH,10000,eth_paired
0xf5e97992f6510955b84ad45d0936387a60eb1bd2,0x42ba141f12d03eb7de2f6508b07b6c0396f8948c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,EWT,WETH,3000,eth_paired
0xf6036c9d480fd42f30a7231f426342b1ed67344d,0x20b57a5e4822b660fd5a558acd6a18bf91ac59a1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,JP2,WETH,10000,eth_paired
0xf604a39848fc79264e625ff539fd02975e9017a1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xcd332b5f7b33a929012003d391c246aef07affd3,WETH,fire,10000,eth_paired
0xf60636435f865660636686eccb66df461d903458,0x6b4c7a5e3f0b99fcd83e9c089bddd6c7fce5c611,0xecacab6725ac1711d97e55df35d525b863b8b9f7,MM,TT,10000,other
0xf60a32399d17eaeb17e71edf2559d4e1a178eafe,0x00000000efe302beaa2b3e6e1b18d08d69a9012a,0x853d955acef822db058eb8505911ed77f175b99e,AUSD,FRAX,500,other
0xf60afed42d276507b6bcae93157c66bee2cf332b,0x444444444444c1a66f394025ac839a535246fcc8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,GENI,USDC,10000,other
0xf61f9bb4e0cd69a241e949bef21285deaf9b0eab,0x6970b11f0610974a4bf140af3928cb6d62e9c086,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,eth/69,WETH,10000,eth_paired
0xf62956f30cbc996400b73b56003adba6b28396fc,0x73acfe378d337704cddcebfc4ffd2daf02a5c3af,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,BLOCK,WETH,3000,eth_paired
0xf63b0cfc642b21611113e26a2564e873c58d47bd,0x6d68015171eaa7af9a5a0a103664cf1e506ff699,0x851f679a5edfb16e7cf1ad157c6995b7e7f333f2,TUZKI,TrumpBucks,10000,other
0xf640258adf2e560dc73bf05b691becd839fd9d22,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe5ca9adb41d31033c1d4201d45d9b7b0a8bff220,WETH,XPIN,3000,eth_paired
0xf643d9b4826f616240b302a4cb3c073a7f30441b,0x96a5399d07896f757bd4c6ef56461f58db951862,0xa99afcc6aa4530d01dfff8e55ec66e4c424c048c,DRAGONX,AWX,10000,other
0xf649df4372d8bb3e6178e52fcd515519c78da348,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xe72b141df173b999ae7c1adcbf60cc9833ce56a8,WETH,ETH+,500,eth_paired
